period_year,period_date,source,remittance_usd,remittance_usd_bn,remittance_pct_gdp,ofw_count,period_label,prev_remittance_usd,remittance_yoy_change_usd,remittance_yoy_pct,remittance_3yr_avg_bn
2000,2000-01-01,WORLD_BANK,6050000000.0,6.05,7.47,,2000,,,,6.05
2001,2001-01-01,WORLD_BANK,6960000000.0,6.96,8.35,,2001,6050000000.0,910000000.0,15.04,6.505
2002,2002-01-01,WORLD_BANK,7380000000.0,7.38,8.55,,2002,6960000000.0,420000000.0,6.03,6.797
2003,2003-01-01,WORLD_BANK,7570000000.0,7.57,8.35,,2003,7380000000.0,190000000.0,2.57,7.303
2004,2004-01-01,WORLD_BANK,8550000000.0,8.55,8.86,,2004,7570000000.0,980000000.0,12.95,7.833
2005,2005-01-01,WORLD_BANK,10690000000.0,10.69,10.57,,2005,8550000000.0,2140000000.0,25.03,8.937
2006,2006-01-01,WORLD_BANK,12760000000.0,12.76,11.99,,2006,10690000000.0,2070000000.0,19.36,10.667
2007,2007-01-01,WORLD_BANK,14450000000.0,14.45,12.73,,2007,12760000000.0,1690000000.0,13.24,12.633
2008,2008-01-01,WORLD_BANK,15930000000.0,15.93,13.47,,2008,14450000000.0,1480000000.0,10.24,14.38
2009,2009-01-01,WORLD_BANK,17350000000.0,17.35,14.51,,2009,15930000000.0,1420000000.0,8.91,15.91
2010,2010-01-01,WORLD_BANK,18760000000.0,18.76,14.58,,2010,17350000000.0,1410000000.0,8.13,17.347
2011,2011-01-01,WORLD_BANK,20120000000.0,20.12,15.08,,2011,18760000000.0,1360000000.0,7.25,18.743
2012,2012-01-01,WORLD_BANK,21390000000.0,21.39,15.03,,2012,20120000000.0,1270000000.0,6.31,20.09
2013,2013-01-01,WORLD_BANK,22970000000.0,22.97,15.07,,2013,21390000000.0,1580000000.0,7.39,21.493
2014,2014-01-01,WORLD_BANK,24350000000.0,24.35,15.07,,2014,22970000000.0,1380000000.0,6.01,22.903
2015,2015-01-01,WORLD_BANK,25610000000.0,25.61,14.94,,2015,24350000000.0,1260000000.0,5.17,24.31
2016,2016-01-01,WORLD_BANK,26900000000.0,26.9,14.68,,2016,25610000000.0,1290000000.0,5.04,25.62
2017,2017-01-01,WORLD_BANK,28060000000.0,28.06,14.35,,2017,26900000000.0,1160000000.0,4.31,26.857
2018,2018-01-01,WORLD_BANK,29200000000.0,29.2,14.06,,2018,28060000000.0,1140000000.0,4.06,28.053
2019,2019-01-01,WORLD_BANK,30130000000.0,30.13,13.67,,2019,29200000000.0,930000000.0,3.18,29.13
2020,2020-01-01,WORLD_BANK,29940000000.0,29.94,15.01,,2020,30130000000.0,-190000000.0,-0.63,29.757
2021,2021-01-01,WORLD_BANK,29860000000.0,29.86,14.16,,2021,29940000000.0,-80000000.0,-0.27,29.977
2022,2022-01-01,WORLD_BANK,31420000000.0,31.42,13.85,,2022,29860000000.0,1560000000.0,5.22,30.407
2023,2023-01-01,WORLD_BANK,36140000000.0,36.14,15.09,,2023,31420000000.0,4720000000.0,15.02,32.473
2024,2024-01-01,WORLD_BANK,37200000000.0,37.2,14.68,,2024,36140000000.0,1060000000.0,2.93,34.92
